cubed	12.0	nan
cubes	12.0	nan
cue	11.0	nan
culinary	12.0	nan
cup	14.0	nan
cupcake	8.0	nan
cupcakes	9.0	nan
cups	14.0	nan
curd	12.0	nan
cure	14.0	nan
curious	11.0	nan
curl	9.0	nan
current	10.0	nan
currently	10.0	nan
curried	10.0	nan
curry	12.0	nan
custard	11.0	nan
customer	8.0	nan
customers	8.0	nan
cut	14.0	nan
cutie	9.0	12.0
cuties	9.0	16.0
cv63	14.0	nan
cyclone	9.0	8.0
daddy	9.0	9.0
daikon	15.0	nan
daily	16.0	nan
daisy	9.0	8.0
dallas	9.0	nan
dampa	16.0	nan
dan	12.0	14.0
dance	10.0	nan
dancers	13.0	nan
dandelion	11.0	nan
daniel	11.0	13.0
danielle	9.0	9.0
daphne	8.0	8.0
dari	12.0	12.0
darker	9.0	nan
dart	12.0	nan
dashi	7.0	nan
dat	9.0	9.0
date	16.0	nan
dates	16.0	nan
dave	13.0	14.0
david	11.0	11.0
davidson	10.0	8.0
davie	11.0	nan
davis	11.0	nan
dawgs	9.0	nan
dawn	6.0	6.0
day	14.0	nan
daybreak	10.0	nan
days	14.0	nan
dayum	14.0	nan
deal	6.0	nan
death	8.0	nan
deb	7.0	7.0
debating	13.0	nan
decadent	12.0	nan
deck	16.0	nan
decker	8.0	nan
decorations	7.0	nan
decorative	7.0	nan
deen	12.0	nan
deep	13.0	nan
defense	13.0	12.0
del	14.0	15.0
delay	13.0	nan
delectably	10.0	nan
delicia	8.0	10.0
delicious	13.0	nan
deliciously	13.0	nan
deliciousness	13.0	nan
delish	8.0	nan
deliver	10.0	nan
delivered	10.0	nan
delta	9.0	nan
dennis	15.0	nan
denny	15.0	15.0
dente	14.0	nan
denver	8.0	nan
depois	16.0	nan
desert	15.0	16.0
design	15.0	16.0
desire	8.0	nan
despise	8.0	nan
dessert	11.0	nan
destination	8.0	nan
devil	10.0	nan
dgn	11.0	nan
dharma	14.0	nan
dhh	16.0	nan
diabetes	12.0	nan
diary	7.0	nan
diced	14.0	nan
dickinson	9.0	9.0
diet	13.0	nan
dieting	11.0	nan
dijon	11.0	nan
dill	10.0	nan
dim	8.0	nan
dined	10.0	nan
diner	13.0	nan
dinner	10.0	nan
dinners	13.0	nan
dinnerware	11.0	nan
dinnr	10.0	nan
dinosaur	12.0	16.0
dip	10.0	nan
directions	11.0	nan
disco	8.0	nan
discovered	7.0	nan
dish	10.0	nan
dishes	11.0	nan
dishing	11.0	nan
distracted	9.0	nan
district	9.0	nan
ditalini	12.0	nan
diva	8.0	8.0
djing	7.0	nan
do-nuts	1.0	nan
doctors	13.0	nan
dodger	6.0	nan
doe	1.0	nan
does	1.0	nan
doesn	1.0	nan
dog	11.0	nan
dogfather	7.0	nan
dogs	11.0	nan
doing	11.0	nan
dolce	8.0	nan
dollar	9.0	8.0
dome	6.0	nan
domed	6.0	nan
dominated	7.0	nan
don	11.0	11.0
donation	12.0	nan
done	9.0	nan
dont	14.0	nan
donut	7.0	nan
doo	11.0	nan
door	9.0	9.0
doors	9.0	nan
dosa	9.0	nan
dot	13.0	nan
doubts	13.0	nan
dough	12.0	nan
doughnuts	8.0	nan
dougnuts	8.0	nan
dove	9.0	10.0
down	11.0	nan
dozens	11.0	nan
dragon	10.0	nan
drained	12.0	nan
dranks	7.0	nan
drawn	1.0	nan
dream	15.0	nan
dreaming	15.0	nan
dreams	15.0	nan
dressed	13.0	nan
dressing	15.0	nan
drew	9.0	9.0
drink	14.0	nan
drinking	11.0	nan
drive	13.0	nan
drivers	12.0	nan
drives	13.0	nan
driving	13.0	nan
drizzled	10.0	nan
drooling	12.0	nan
drop	9.0	nan
dry	13.0	nan
dublin	6.0	nan
dude	8.0	nan
dudes	8.0	nan
dukes	8.0	nan
dumplings	12.0	nan
dungeness	7.0	nan
dunkin	15.0	15.0
duude	8.0	nan
dylan	13.0	13.0
dynamic	14.0	16.0
each	9.0	nan
ear	11.0	nan
early	14.0	nan
earth	12.0	8.0
ease	11.0	nan
east	12.0	12.0
eastern	10.0	nan
easy	12.0	nan
eat	13.0	11.0
eateries	8.0	nan
eaters	4.0	nan
eating	13.0	nan
eats	13.0	nan
eatting	13.0	nan
ebony	9.0	nan
edamame	14.0	16.0
educational	15.0	nan
educators	15.0	nan
egg	12.0	13.0
eggs	14.0	nan
elk	5.0	nan
emerge	14.0	nan
emotional	7.0	nan
enchanted	8.0	nan
enchilada	13.0	nan
enchiladas	13.0	nan
end	11.0	nan
ending	11.0	nan
endive	14.0	nan
ends	11.0	nan
enduro	10.0	10.0
energy	16.0	nan
england	12.0	nan
enjoy	15.0	16.0
enjoyable	15.0	nan
enjoyed	15.0	nan
enjoying	15.0	nan
enoki	14.0	nan
enough	16.0	nan
enter	8.0	nan
entered	8.0	nan
entertainment	9.0	nan
entire	15.0	nan
entirely	15.0	nan
entree	13.0	nan
entrees	14.0	nan
epic	4.0	8.0
equal	11.0	13.0
especial	9.0	nan
especially	9.0	nan
eto	15.0	nan
eureka	14.0	14.0
europa	9.0	9.0
eva	7.0	nan
evaa	7.0	nan
evah	7.0	nan
even	14.0	nan
evening	14.0	nan
ever	13.0	14.0
every	9.0	nan
everybody	11.0	11.0
everyday	12.0	nan
everyone	13.0	14.0
excelente	11.0	nan
excellence	11.0	nan
excellent	11.0	9.0
excelsior	9.0	9.0
exceptionally	8.0	nan
excluding	9.0	nan
exec	10.0	nan
exemplar	13.0	nan
exhausted	7.0	nan
exist	12.0	nan
exp	12.0	nan
expanded	13.0	nan
expansion	11.0	nan
expensive	11.0	nan
experience	10.0	nan
experienced	10.0	nan
experiences	10.0	nan
experiment	10.0	nan
experimenting	10.0	nan
explore	14.0	15.0
expo	12.0	nan
export	8.0	nan
express	12.0	nan
extr	12.0	nan
extremely	15.0	nan
eye	15.0	nan
eyes	15.0	nan
ezekial	13.0	nan
ezekiel	15.0	14.0
f.s.	14.0	nan
fabulous	8.0	8.0
faced	9.0	nan
faces	9.0	nan
facetime	6.0	nan
fact	7.0	nan
factory	12.0	nan
faded	9.0	nan
fagioli	14.0	nan
faidley	11.0	nan
fair	11.0	nan
fairfield	11.0	11.0
fajitas	12.0	nan
falafel	13.0	nan
fall	11.0	12.0
falling	11.0	nan
fambam	11.0	nan
familiaaa	14.0	nan
familiar	9.0	nan
family	13.0	nan
famous	10.0	nan
fan	7.0	nan
fancy	11.0	nan
fancyyyyy	11.0	nan
fantastic	16.0	16.0
far	9.0	8.0
fare	14.0	nan
farek	14.0	nan
farewell	9.0	nan
fargo	11.0	nan
farina	13.0	12.0
farm	13.0	nan
farmer	11.0	nan
farmers	11.0	nan
farmhouse	12.0	nan
farms	13.0	nan
farmshop	13.0	nan
farts	13.0	nan
fashionably	13.0	nan
fast	10.0	nan
fasted	10.0	nan
fat	15.0	nan
fatboy	6.0	nan
fathers	9.0	nan
fave	8.0	nan
favorita	11.0	nan
favorite	13.0	nan
favorites	13.0	nan
favoritest	13.0	nan
fazzari47	8.0	nan
fcob	14.0	nan
feast	10.0	nan
feature	7.0	nan
featuring	7.0	nan
fed	10.0	nan
federal	13.0	nan
feed	12.0	16.0
feeding	12.0	nan
feel	16.0	nan
feel-good	16.0	nan
feeling	16.0	nan
feels	16.0	nan
felix	11.0	10.0
fella	16.0	nan
fennel	12.0	nan
feriado	14.0	nan
ferraro	13.0	nan
ferrum61	13.0	nan
fest	8.0	nan
feta	11.0	nan
fettuccine	12.0	nan
fewer	6.0	nan
ffrw	11.0	nan
fiber	13.0	16.0
fideo	10.0	nan
fideos	10.0	nan
field	14.0	15.0
fieldandfire	10.0	nan
fields	14.0	nan
fiending	10.0	nan
fiery	11.0	nan
fiestada	14.0	nan
fig	14.0	nan
figgs	13.0	nan
figuratively	13.0	nan
figure	13.0	7.0
figured	13.0	nan
figures	13.0	nan
filet	9.0	nan
filets	10.0	nan
filipino	1.0	nan
filled	13.0	nan
filling	13.0	nan
films	14.0	nan
filo	8.0	nan
filtered	12.0	nan
finas	7.0	nan
find	10.0	15.0
finding	10.0	15.0
findings	10.0	nan
fine	12.0	nan
fines	12.0	nan
fingers	10.0	nan
fingys	10.0	nan
finish	10.0	nan
fiore	5.0	nan
fiori	12.0	nan
fireball	8.0	nan
firehouse	12.0	11.0
fires	14.0	nan
first	15.0	14.0
first-class	7.0	nan
fish	10.0	nan
fishbonz	16.0	nan
fishdish	11.0	nan
fishers	11.0	nan
fishies	8.0	nan
fishin	7.0	7.0
fit	12.0	nan
fitness	12.0	nan
fits	12.0	nan
fitted	12.0	nan
fives	14.0	nan
fix	13.0	nan
fixe	13.0	nan
fixes	13.0	nan
fixings	13.0	nan
flakes	14.0	nan
flamin	10.0	nan
flamingo	8.0	8.0
flashing	11.0	nan
flat	13.0	14.0
flatbread	12.0	nan
flatbreads	11.0	nan
flatscreen	12.0	nan
flautas	8.0	nan
flavore	14.0	nan
flavored	14.0	nan
flavors	14.0	nan
flax	15.0	15.0
flaxseeds	15.0	nan
fleetwood	9.0	nan
flem	9.0	nan
fliers	10.0	nan
flies	10.0	nan
flight	9.0	nan
flights	14.0	nan
flipped	11.0	nan
flippin	11.0	nan
flogging	10.0	nan
floor	14.0	nan
florets	15.0	nan
floss	10.0	nan
flour	14.0	nan
flow	16.0	nan
flowers	12.0	nan
fluffy	11.0	nan
flushing	10.0	nan
flying	10.0	9.0
focused	16.0	nan
focusing	16.0	nan
fod	9.0	nan
fog	7.0	nan
fogo	12.0	nan
foie-gras	9.0	nan
foil	8.0	nan
fold	8.0	nan
folks	8.0	nan
followed	14.0	nan
followers	14.0	nan
following	14.0	nan
fondue	8.0	nan
fontina	8.0	nan
foo	12.0	nan
food	9.0	nan
foods	10.0	nan
foodtruck	10.0	nan
football	8.0	nan
footlong	8.0	nan
footwear	8.0	nan
foraged	14.0	nan
forced	10.0	nan
forces	10.0	nan
foreeevveerrrr	10.0	nan
forefront	11.0	nan
forever	10.0	12.0
foreverrrrr	10.0	nan
fork	13.0	nan
forks	13.0	nan
former	16.0	nan
formerly	16.0	nan
forms	14.0	nan
formula	16.0	nan
forno	9.0	10.0
forward	10.0	nan
fountain	9.0	10.0
four	14.0	nan
foursquare	8.0	nan
francis	14.0	14.0
frapps	11.0	nan
freak	10.0	nan
freaken	9.0	nan
freaking	10.0	nan
free	16.0	nan
freebirds	10.0	10.0
freeburg	10.0	nan
freeman	14.0	nan
french	13.0	nan
frenchbaker	12.0	nan
fresco	11.0	nan
fresh	9.0	nan
fresh52	16.0	nan
